Name,Standarlized Name,Academic Influence Ranking (Concentrated Influence),Washington Monthly Ranking,UnitID,8-year graduation rate,Graduation rate rank,"Predicted graduation rate based on % of Pell recipients, incoming SATs, etc.",Graduation rate performance rank,Pell/non-Pell graduation gap,Pell graduation gap rank,Number of Pell graduates,Actual vs. predicted Pell enrollment,Pell performance rank,Earnings 10 years after college entry,Predicted earnings,Earnings performance rank,"Net price of attendance for families below $75,000 income",Net price rank,"Research expenditures, in millions",Research expenditures rank,Bachelor's to PhD rank,AmeriCorps/Peace Corps rank,ROTC rank,Percent of federal work-study funds spent on service,Percent of federal work-study funds spent on service rank,Earns Carnegie Community Engagement Classification?,Voting engagement points,Percent of grads with service-oriented majors,Service-oriented majors rank,Social mobility rank,Research rank,Service rank,State abbreviation,Times Higher Education Ranking (2022) ,City,State,US News Ranking (with ties) ,us_news_displayRank,us_news_schoolType,us_news_aliasNames,us_news_city,us_news_region,us_news_institutionalControl,us_news_isTied,us_news_actAvg,us_news_percentReceivingAid,us_news_acceptanceRate,us_news_tuition,us_news_hsGpaAvg,us_news_enrollment,us_news_satAvg,us_news_costAfterAid,us_news_Setting,Degree Choices Ranking,DC_economic_score,DC_cost,DC_earnings,DC_graduation_rate,Pell Students,UNITID,OPEID,URL,Men Enroll,Women Enroll,White Enroll,Black Enroll,Hispanic Enroll,Asian Enroll,AI/AN Enroll,NH/PI Enroll,2+ Races Enroll,Non-Res Aliens Enroll,Race Unkn Enroll,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,Avg Cost (4yr),Adm Rate,Comp Rate (100%),Pub/Priv Type
edmonds college,edmonds college,1191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edward waters university,edward waters university,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elizabeth city state university,elizabeth city state university,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elizabethtown college,elizabethtown college,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elmhurst university,elmhurst university,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elmira college,elmira college,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elms college,elms college,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elon university,elon university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nc,51,Elon,North Carolina,,,,,,,,,,,,,,,,,,,,,,,0.0953,198516,292700,www.elon.edu/,0.4051,0.5949,0.7903,0.0573,0.0639,0.0234,0.0013,0.0002,0.0312,0.0218,0.0107,0,0,0,0,0,0,0,55329,0.7446299356,0.7894,2
"embry–riddle aeronautical university, daytona beach","embry–riddle aeronautical university, daytona beach",1121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"embry–riddle aeronautical university, prescott","embry–riddle aeronautical university, prescott",903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emerson college,emerson college,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emmanuel college,emmanuel college,377,180,165671,67%,118,72%,163,-8%,131,100,-7%,160,55943,58801,137,25225,192,0,122,165,141,68,7%,102,NO,1,16%,31,177,170,138,ma,,,,152,#152,national-liberal-arts-colleges,,Boston,,private,TRUE,25,,80,46686,,1947,1160,,Urban,73,4.44,"$30,487","$68,245",62%,0.2243,165671,214700,www.emmanuel.edu/,0.2291,0.7709,0.6776,0.0636,0.1229,0.0474,0.0005,0.0016,0.0286,0.0065,0.0512,0,0,0,0,0,0,0,61953,0.7969236087,0.5923,2
emmanuel university,emmanuel university,1203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emory and henry college,emory and henry college,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
empire state university,empire state university,1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emporia state university,emporia state university,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
endicott college,endicott college,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erskine college,erskine college,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eureka college,eureka college,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evangel university,evangel university,609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
everglades university,everglades university,1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evergreen state college,evergreen state college,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excelsior university,excelsior university,1221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fairfield university,fairfield university,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fairleigh dickinson university,fairleigh dickinson university,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fairleigh dickinson university-florham campus,fairleigh dickinson university-florham campus,1244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fairmont state university,fairmont state university,696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmingdale state college,farmingdale state college,931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fashion institute of technology,fashion institute of technology,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faulkner university,faulkner university,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fayetteville state university,fayetteville state university,943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feather river college,feather river college,1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
felician university,felician university,945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ferrum college,ferrum college,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finlandia university,finlandia university,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fisher college,fisher college,681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fisk university,fisk university,16,172,220181,34%,188,48%,193,-16%,179,50,19%,6,42114,41215,78,22415,178,5.6,5,126,80,63,6%,119,NO,0,1%,139,185,41,158,tn,,,,146,#146,national-liberal-arts-colleges,,Nashville,,private,TRUE,19,,71,23578,,1009,1090,,Urban,,,,,,0.5274,220181,349000,www.fisk.edu/,0.329,0.671,0.003,0.7294,0.0188,0.002,0,0,0.0119,0.1576,0.0773,1,0,0,0,0,0,0,39142,0.7096862961,0.5122,2
fitchburg state university,fitchburg state university,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
five towns college,five towns college,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flagler college,flagler college,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florida college,florida college,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florida gateway college,florida gateway college,1091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florida gulf coast university,florida gulf coast university,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florida institute of technology-online,florida institute of technology-online,1252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florida memorial university,florida memorial university,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florida national university,florida national university,1155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florida polytechnic university,florida polytechnic university,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florida southern college,florida southern college,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florida southwestern state college,florida southwestern state college,1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florida state college at jacksonville,florida state college at jacksonville,1151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fontbonne university,fontbonne university,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
foothill college,foothill college,1034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fort hays state university,fort hays state university,969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fort lewis college,fort lewis college,653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fort valley state university,fort valley state university,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
framingham state university,framingham state university,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
francis marion university,francis marion university,662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
franciscan university of steubenville,franciscan university of steubenville,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
franklin and marshall college,franklin and marshall college,150,25,212577,85%,43,84%,94,-1%,50,87,-6%,153,76340,61840,5,15677,82,4.2,13,50,88,112,8%,90,NO,4,3%,121,17,25,103,pa,28,Lancaster,Pennsylvania,35,#35,national-liberal-arts-colleges,F&M Franklin & Marshall,Lancaster,,private,TRUE,30,58,36,68380,,1990,1300,29609,,40,3.2,"$33,802","$76,124",85%,0.187,212577,326500,www.fandm.edu/,0.4658,0.5342,0.5619,0.0549,0.1032,0.0443,0.0015,0,0.0347,0.1898,0.0096,0,0,0,0,0,0,0,80319,0.362322089,0.8122,2
franklin college,franklin college,228,133,150604,63%,140,57%,37,-12%,154,68,-3%,126,49494,47405,64,16608,97,0,122,168,116,102,7%,97,NO,1,16%,30,108,173,117,in,,,,139,#139,national-liberal-arts-colleges,,Franklin,,private,TRUE,18,,93,37350,3.5,894,970,,Suburban,103,5.59,"$18,419","$55,376",63%,0.4,150604,179800,www.franklincollege.edu/,0.5297,0.4703,0.8091,0.0559,0.0536,0.0198,0.0012,0,0.0466,0.0081,0.0058,0,0,0,0,0,0,0,49403,0.9286125504,0.5872,2
franklin pierce university,franklin pierce university,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freed–hardeman university,freed–hardeman university,1072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fremont university,fremont university,1190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fresno pacific university,fresno pacific university,830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friends university,friends university,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frostburg state university,frostburg state university,657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full sail university,full sail university,1126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
furman university,furman university,84,87,218070,80%,59,84%,155,-4%,87,77,1%,91,59616,61780,130,19973,152,2.1,37,61,135,4,1%,184,YES,5,21%,15,122,53,35,sc,54,Greenville,South Carolina,46,#46,national-liberal-arts-colleges,,Greenville,,private,TRUE,28,45,67,58312,3.7,2283,1260,34330,Suburban,49,3.64,"$31,357","$68,635",80%,0.111,218070,343400,www.furman.edu/,0.4135,0.5865,0.7656,0.0588,0.0601,0.0364,0.0013,0.0004,0.0369,0.0351,0.0053,0,0,0,0,0,0,0,69678,0.6702155976,0.7831,2
geneva college,geneva college,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
georgetown college,georgetown college,256,155,156745,53%,162,65%,191,-16%,180,59,-4%,130,48092,49213,113,13769,55,0,122,158,119,79,7%,106,NO,0,63%,1,174,164,36,ky,,,,-1,#186-204,national-liberal-arts-colleges,,Georgetown,,private,FALSE,18,,72,42010,3.6,1233,1030,,Suburban,57,3.87,"$14,522","$52,074",53%,0.3526,156745,196400,www.georgetowncollege.edu/,0.4659,0.5341,0.7558,0.0831,0.0648,0.0058,0,0.0008,0.0432,0.0415,0.005,0,0,0,0,0,0,0,55456,0.7152448657,0.4242,2
georgia college & state university,georgia college & state university,825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
georgia gwinnett college,georgia gwinnett college,1163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
georgia highlands college,georgia highlands college,1127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
georgia military college,georgia military college,955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
georgia southwestern state university,georgia southwestern state university,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
georgian court university,georgian court university,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gettysburg college,gettysburg college,146,72,212674,82%,53,85%,142,-2%,62,75,0%,102,69282,66081,54,15451,78,1,57,107,105,24,3%,170,YES,5,1%,141,64,94,79,pa,46,Gettysburg,Pennsylvania,63,#63,national-liberal-arts-colleges,,Gettysburg,,private,TRUE,28,60,56,64230,,2241,1350,31048,Suburban,34,2.87,"$28,320","$71,517",84%,0.199,212674,326800,https://www.gettysburg.edu/,0.4857,0.5143,0.6668,0.047,0.1167,0.0318,0.0013,0.0009,0.0291,0.0796,0.0268,0,0,0,0,0,0,0,76330,0.5631469979,0.7802,2
glenville state university,glenville state university,1213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goddard college,goddard college,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
golden gate university,golden gate university,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonzaga university,gonzaga university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wa,66,Spokane,Washington,,,,,,,,,,,,,,,,,,,,,,,0.1431,235316,377800,https://www.gonzaga.edu/,0.4623,0.5377,0.6483,0.0114,0.1287,0.0664,0.0048,0.0036,0.0755,0.0363,0.0251,0,0,0,0,0,0,0,66149,0.6973803985,0.7981,2
gordon college,gordon college,353,177,165936,72%,101,72%,108,-13%,159,90,-8%,167,50644,58050,184,20622,159,0,122,114,129,57,2%,175,NO,0,27%,5,180,128,113,ma,,,,163,#163,national-liberal-arts-colleges,,Wenham,,private,TRUE,23,,92,28100,3.7,1294,1070,,,133,7.53,"$21,043","$52,119",73%,0.2186,165936,215300,www.gordon.edu/,0.4024,0.5976,0.6096,0.0598,0.1211,0.0335,0,0.0024,0.0287,0.1068,0.0382,0,0,0,0,0,0,0,39666,0.917562724,0.6086,2
gordon state college,gordon state college,1119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goshen college,goshen college,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goucher college,goucher college,33,70,162654,67%,117,66%,81,-5%,90,75,8%,27,50457,52269,124,17829,117,0.4,89,115,20,81,4%,154,NO,5,29%,4,93,113,11,md,,,,124,#124,national-liberal-arts-colleges,,Baltimore,,private,TRUE,24,,81,51250,3.3,1002,1110,,,141,9.11,"$27,204","$53,023",68%,0.2972,162654,207300,www.goucher.edu/,0.3282,0.6718,0.5087,0.264,0.0459,0.051,0.0071,0,0.0031,0.0316,0.0887,0,0,0,0,0,0,0,65729,0.8024439919,0.5034,2
governors state university,governors state university,592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grace college & seminary,grace college & seminary,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graceland university,graceland university,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grambling state university,grambling state university,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grand valley state university,grand valley state university,948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grand view university,grand view university,692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
granite state college,granite state college,774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grays harbor college,grays harbor college,1106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great basin college,great basin college,1056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
green river college,green river college,1196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greensboro college,greensboro college,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greenville university,greenville university,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell college,grinnell college,54,26,153384,87%,34,92%,165,2%,24,92,8%,31,61009,67698,176,14660,63,3.9,16,10,6,112,2%,176,NO,5,0%,149,76,11,40,ia,24,Grinnell,Iowa,11,#11,national-liberal-arts-colleges,,Grinnell,,private,TRUE,31,64,11,64862,,1759,1380,22854,Rural,31,2.76,"$17,772","$62,830",87%,0.1774,153384,186800,www.grinnell.edu/,0.4722,0.5278,0.526,0.0439,0.0831,0.0755,0,0,0.048,0.1954,0.0281,0,0,0,0,0,0,0,75698,0.1076322897,0.8426,2
guilford college,guilford college,135,170,198613,49%,171,55%,168,-9%,138,185,-8%,163,42780,49821,181,20021,153,0,122,93,121,112,18%,18,NO,0,4%,97,172,105,135,nc,,,,167,#167,national-liberal-arts-colleges,,Greensboro,,private,TRUE,17,,82,41140,,1192,950,,,145,9.8,"$23,571","$47,590",52%,0.4634,198613,293100,https://www.guilford.edu/,0.5049,0.4951,0.4393,0.3043,0.1605,0.0235,0.0029,0,0.0509,0.0098,0.0088,0,0,0,0,0,0,0,54954,0.8351486606,0.4038,2
gulf coast state college,gulf coast state college,1129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gustavus adolphus college,gustavus adolphus college,156,31,173647,78%,72,82%,157,-2%,64,145,17%,10,61198,59004,62,15677,83,0.7,75,99,56,33,3%,161,YES,6,11%,54,31,96,21,mn,75,Saint Peter,Minnesota,67,#67,national-liberal-arts-colleges,,St. Peter,,private,TRUE,25,66,74,54310,3.6,2088,,29637,,48,3.64,"$24,224","$65,607",78%,0.2425,173647,235300,gustavus.edu/,0.4456,0.5544,0.7941,0.0295,0.0493,0.0333,0.001,0.001,0.0406,0.043,0.0082,0,0,0,0,0,0,0,63088,0.7389579476,0.7283,2
gwynedd mercy university,gwynedd mercy university,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamilton college,hamilton college,43,15,191515,93%,10,92%,85,0%,41,69,0%,96,75777,71678,48,10517,29,2.3,35,62,30,82,17%,23,NO,6,0%,149,18,52,25,ny,17,Clinton,New York,16,#16,national-liberal-arts-colleges,,Clinton,,private,TRUE,33,51,12,65740,,2075,1420,29735,Rural,14,2.11,"$24,837","$78,411",90%,0.182,191515,272800,https://www.hamilton.edu/,0.4481,0.5519,0.6451,0.0314,0.0951,0.0903,0.0005,0,0.0526,0.0729,0.0121,0,0,0,0,0,0,0,77000,0.1177896757,0.8856,2
hamline university,hamline university,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hampden-sydney college,hampden-sydney college,71,188,232256,66%,130,69%,148,-8%,127,43,-21%,197,68069,67338,80,23268,184,0,122,139,157,6,9%,71,NO,0,0%,149,184,146,174,va,,,,116,#116,national-liberal-arts-colleges,Hampden Sydney College,Hampden-Sydney,,private,TRUE,23,,40,52388,3.4,835,1040,,,55,3.83,"$25,214","$67,640",67%,0.1998,232256,371300,www.hsc.edu/,0.9965,0.0035,0.7849,0.0686,0.0626,0.0118,0,0,0.0544,0.0024,0.0154,0,0,0,0,0,0,0,66868,0.3979153893,0.7314,2
