,Name,name,UnitID,8-year graduation rate,Graduation rate rank,"Predicted graduation rate based on % of Pell recipients, incoming SATs, etc.",Graduation rate performance rank,Pell/non-Pell graduation gap,Pell graduation gap rank,Number of Pell graduates,Actual vs. predicted Pell enrollment,Pell performance rank,Earnings 10 years after college entry,Predicted earnings,Earnings performance rank,"Net price of attendance for families below $75,000 income",Net price rank,"Research expenditures, in millions",Research expenditures rank,Bachelor's to PhD rank,AmeriCorps/Peace Corps rank,ROTC rank,Percent of federal work-study funds spent on service,Percent of federal work-study funds spent on service rank,Earns Carnegie Community Engagement Classification?,Voting engagement points,Percent of grads with service-oriented majors,Service-oriented majors rank,Social mobility rank,Research rank,Service rank,state,THE_US_rank 2022,City,State,us_news_schoolType,us_news_aliasNames,us_news_city,us_news_region,us_news_institutionalControl,us_news_displayRank,us_news_sortRank,THE_rank,WM_Rank,us_news_isTied,us_news_actAvg,us_news_percentReceivingAid,us_news_acceptanceRate,us_news_tuition,us_news_hsGpaAvg,us_news_enrollment,us_news_satAvg,us_news_costAfterAid,us_news_Setting,DC_economic_score,DC_cost,DC_earnings,DC_graduation_rate,DC_Ranking,AI_Ranking,Pell Students,UNITID,OPEID,URL,Men Enroll,Women Enroll,White Enroll,Black Enroll,Hispanic Enroll,Asian Enroll,AI/AN Enroll,NH/PI Enroll,2+ Races Enroll,Non-Res Aliens Enroll,Race Unkn Enroll,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,Avg Cost (4yr),Adm Rate,Comp Rate (100%),Pub/Priv Type
351,"california state university, sacramento","california state university, sacramento",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805.0,,,,,,,,,,,,,,,,,,,,,,,,,,
352,"california state university, san bernardino","california state university, san bernardino",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
353,"california state university, stanislaus","california state university, stanislaus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934.0,,,,,,,,,,,,,,,,,,,,,,,,,,
354,calumet college of st. joseph,calumet college of saint joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992.0,,,,,,,,,,,,,,,,,,,,,,,,,,
355,calvin university,calvin university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.0,,,,,,,,,,,,,,,,,,,,,,,,,,
356,cambridge college,cambridge college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.0,,,,,,,,,,,,,,,,,,,,,,,,,,
357,cameron university,cameron university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844.0,,,,,,,,,,,,,,,,,,,,,,,,,,
358,campbellsville university,campbellsville university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1006.0,,,,,,,,,,,,,,,,,,,,,,,,,,
359,canisius university,canisius university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907.0,,,,,,,,,,,,,,,,,,,,,,,,,,
360,capital university,capital university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571.0,,,,,,,,,,,,,,,,,,,,,,,,,,
361,caribbean university,caribbean university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932.0,,,,,,,,,,,,,,,,,,,,,,,,,,
362,carlow university,carlow university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.0,,,,,,,,,,,,,,,,,,,,,,,,,,
363,carroll college,carroll college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,769.0,,,,,,,,,,,,,,,,,,,,,,,,,,
364,carroll university,carroll university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.0,,,,,,,,,,,,,,,,,,,,,,,,,,
365,carthage college,carthage college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.0,,,,,,,,,,,,,,,,,,,,,,,,,,
366,cascadia college,cascadia college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090.0,,,,,,,,,,,,,,,,,,,,,,,,,,
367,castleton university,castleton university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620.0,,,,,,,,,,,,,,,,,,,,,,,,,,
368,catawba college,catawba college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.0,,,,,,,,,,,,,,,,,,,,,,,,,,
369,cazenovia college,cazenovia college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.0,,,,,,,,,,,,,,,,,,,,,,,,,,
370,cedar crest college,cedar crest college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.0,,,,,,,,,,,,,,,,,,,,,,,,,,
371,cedarville university,cedarville university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729.0,,,,,,,,,,,,,,,,,,,,,,,,,,
372,centenary university,centenary university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843.0,,,,,,,,,,,,,,,,,,,,,,,,,,
373,central baptist college,central baptist college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1110.0,,,,,,,,,,,,,,,,,,,,,,,,,,
374,central christian college of kansas,central christian college of kansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1057.0,,,,,,,,,,,,,,,,,,,,,,,,,,
375,central connecticut state university,central connecticut state university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702.0,,,,,,,,,,,,,,,,,,,,,,,,,,
376,central methodist university,central methodist university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.0,,,,,,,,,,,,,,,,,,,,,,,,,,
377,central methodist university college of graduate and extended studies,central methodist university college of graduate and extended studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1240.0,,,,,,,,,,,,,,,,,,,,,,,,,,
