,Name,name,UnitID,8-year graduation rate,Graduation rate rank,"Predicted graduation rate based on % of Pell recipients, incoming SATs, etc.",Graduation rate performance rank,Pell/non-Pell graduation gap,Pell graduation gap rank,Number of Pell graduates,Actual vs. predicted Pell enrollment,Pell performance rank,Earnings 10 years after college entry,Predicted earnings,Earnings performance rank,"Net price of attendance for families below $75,000 income",Net price rank,"Research expenditures, in millions",Research expenditures rank,Bachelor's to PhD rank,AmeriCorps/Peace Corps rank,ROTC rank,Percent of federal work-study funds spent on service,Percent of federal work-study funds spent on service rank,Earns Carnegie Community Engagement Classification?,Voting engagement points,Percent of grads with service-oriented majors,Service-oriented majors rank,Social mobility rank,Research rank,Service rank,state,THE_US_rank 2022,City,State,us_news_schoolType,us_news_aliasNames,us_news_city,us_news_region,us_news_institutionalControl,us_news_displayRank,us_news_sortRank,THE_rank,WM_Rank,us_news_isTied,us_news_actAvg,us_news_percentReceivingAid,us_news_acceptanceRate,us_news_tuition,us_news_hsGpaAvg,us_news_enrollment,us_news_satAvg,us_news_costAfterAid,us_news_Setting,DC_economic_score,DC_cost,DC_earnings,DC_graduation_rate,DC_Ranking,AI_Ranking,Pell Students,UNITID,OPEID,URL,Men Enroll,Women Enroll,White Enroll,Black Enroll,Hispanic Enroll,Asian Enroll,AI/AN Enroll,NH/PI Enroll,2+ Races Enroll,Non-Res Aliens Enroll,Race Unkn Enroll,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,Avg Cost (4yr),Adm Rate,Comp Rate (100%),Pub/Priv Type
0,divine word college,divine word college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ia,,,,national-liberal-arts-colleges,,Epworth,,private,Unranked,-2.0,,,False,,,100.0,14620.0,,67.0,,,,,,,,,,0.197,153241.0,185800.0,www.dwci.edu/,0.3971,0.6029,0.0,0.0,0.0147,0.1324,0.0,0.0,0.0,0.8529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,2.0
1,hellenic college,hellenic college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma,,,,national-liberal-arts-colleges,,Brookline,,private,Unranked,-2.0,,,False,,,76.0,22490.0,,39.0,,,,7.88,"$29,312","$51,724",57%,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,patrick henry college,patrick henry college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,va,,,,national-liberal-arts-colleges,,Purcellville,,private,Unranked,-2.0,,,False,,,76.0,28425.0,3.8,409.0,,,Suburban,,,,,,,0.0,451927.0,3951300.0,https://www.phc.edu/,0.5452,0.4548,0.6543,0.0053,0.0585,0.0824,0.0027,0.0027,0.0,0.0,0.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.75847457627118,0.5882,2.0
3,pontifical college josephinum,pontifical college josephinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oh,,,,national-liberal-arts-colleges,,Columbus,,private,Unranked,-2.0,,,False,,,80.0,26763.0,,32.0,,,,,,,,,,0.125,205027.0,311300.0,www.pcj.edu/,1.0,0.0,0.7941,0.0588,0.0882,0.0,0.0,0.0,0.0,0.0588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.875,0.3077,2.0
4,sacred heart major seminary,sacred heart major seminary,172033.0,74%,89.0,46%,1.0,0%,39.0,17.0,-8%,166.0,,37564.0,12.0,20871.0,164.0,0.0,122.0,171.0,180.0,112.0,0%,187.0,NO,0.0,0%,149.0,30.0,175.0,196.0,mi,,,,national-liberal-arts-colleges,,Detroit,,private,Unranked,-2.0,,103.0,False,,,100.0,22277.0,,190.0,,,,,,,,,,0.0915,172033.0,231300.0,www.shms.edu/,0.5071,0.4929,0.7357,0.0,0.1071,0.0214,0.0,0.0,0.0071,0.0071,0.1214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,2.0
5,thomas more college of liberal arts,thomas more college of liberal arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nh,,,,national-liberal-arts-colleges,,Merrimack,,private,Unranked,-2.0,,,False,,,,28000.0,,89.0,,,,,,,,,249.0,0.382,183275.0,3043100.0,www.thomasmorecollege.edu/,0.4831,0.5169,0.7528,0.0,0.0562,0.0112,0.0225,0.0,0.0225,0.0225,0.1124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36079.0,,0.7,2.0
6,university of the west,university of the west,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ca,,,,national-liberal-arts-colleges,,Rosemead,,private,Unranked,-2.0,,,False,,,,14018.0,,77.0,,,,,,,,,354.0,0.4416,449870.0,3696300.0,www.uwest.edu/,0.4068,0.5932,0.0339,0.0847,0.2542,0.1017,0.0,0.0,0.0169,0.4915,0.0169,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27218.0,0.78260869565217,0.0,2.0
7,allen university,allen university,217624.0,21%,195.0,30%,186.0,-5%,98.0,46.0,18%,9.0,28108.0,35347.0,182.0,13582.0,51.0,0.0,122.0,190.0,162.0,62.0,6%,114.0,NO,1.0,0%,149.0,158.0,191.0,181.0,sc,,,,national-liberal-arts-colleges,,Columbia,,private,#186-204,-1.0,,179.0,False,,,49.0,13540.0,,603.0,,,,,,,,,325.0,0.8668,217624.0,341700.0,https://www.allenuniversity.edu/,0.5705,0.4295,0.0033,0.9303,0.0232,0.0017,0.0166,0.0,0.0017,0.0133,0.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25042.0,0.43355747678514,0.0,2.0
8,bethany college,bethany college,237181.0,41%,177.0,49%,180.0,-21%,190.0,40.0,-10%,175.0,45649.0,44942.0,81.0,11805.0,37.0,0.0,122.0,92.0,67.0,112.0,0%,187.0,NO,0.0,32%,3.0,181.0,103.0,82.0,wv,,,,national-liberal-arts-colleges,,Bethany,,private,#186-204,-1.0,,167.0,False,18.0,,74.0,32640.0,,545.0,870.0,,,,,,,,167.0,0.4046,237181.0,380800.0,www.bethanywv.edu/,0.5606,0.4394,0.5354,0.1515,0.064,0.0017,0.0034,0.0017,0.0354,0.1077,0.0993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47610.0,0.64918898528857,0.2927,2.0
9,bethune-cookman university,bethune-cookman university,132602.0,37%,183.0,38%,113.0,1%,32.0,356.0,19%,7.0,37270.0,29689.0,19.0,14969.0,69.0,0.6,81.0,172.0,118.0,46.0,3%,167.0,NO,1.0,9%,61.0,4.0,167.0,156.0,fl,,,,national-liberal-arts-colleges,Bethune Cookman University,Daytona Beach,,private,#186-204,-1.0,,37.0,False,15.0,,85.0,14794.0,3.3,2628.0,830.0,,,,,,,,402.0,0.7632,132602.0,146700.0,www.cookman.edu/,0.3695,0.6305,0.0068,0.804,0.0582,0.0004,0.0019,0.0,0.0263,0.0293,0.0731,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29551.0,0.84966453424871,0.1783,2.0
10,east-west university,east-west university,144883.0,14%,197.0,34%,197.0,-26%,195.0,35.0,21%,4.0,29841.0,38600.0,190.0,17992.0,118.0,0.0,122.0,194.0,180.0,112.0,5%,131.0,NO,0.0,0%,149.0,196.0,194.0,190.0,il,,,,national-liberal-arts-colleges,East West University,Chicago,,private,#186-204,-1.0,,197.0,False,,,,23400.0,,487.0,,,,,,,,,419.0,0.7906,144883.0,2168600.0,www.eastwest.edu/,0.4991,0.5009,0.0208,0.3743,0.3667,0.0076,0.0132,0.0019,0.0208,0.1871,0.0076,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29168.0,,0.0442,2.0
11,georgetown college,georgetown college,156745.0,53%,162.0,65%,191.0,-16%,180.0,59.0,-4%,130.0,48092.0,49213.0,113.0,13769.0,55.0,0.0,122.0,158.0,119.0,79.0,7%,106.0,NO,0.0,63%,1.0,174.0,164.0,36.0,ky,,,,national-liberal-arts-colleges,,Georgetown,,private,#186-204,-1.0,,155.0,False,18.0,,72.0,42010.0,3.6,1233.0,1030.0,,Suburban,3.87,"$14,522","$52,074",53%,57.0,256.0,0.3526,156745.0,196400.0,www.georgetowncollege.edu/,0.4659,0.5341,0.7558,0.0831,0.0648,0.0058,0.0,0.0008,0.0432,0.0415,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55456.0,0.71524486571879,0.4242,2.0
12,hebrew theological college,hebrew theological college,145497.0,9%,199.0,37%,199.0,-6%,110.0,12.0,-21%,198.0,29171.0,29496.0,96.0,9815.0,23.0,0.0,122.0,194.0,180.0,112.0,1%,182.0,NO,0.0,0%,149.0,191.0,194.0,194.0,il,,,,national-liberal-arts-colleges,,Skokie,,private,#186-204,-1.0,,196.0,False,,,80.0,14200.0,,170.0,,,,,,,,,,0.3049,145497.0,168500.0,https://www.htc.edu/,0.2055,0.7945,0.9452,0.0,0.0274,0.0,0.0,0.0,0.0,0.0274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21196.0,0.71428571428571,0.1591,2.0
13,lane college,lane college,220598.0,28%,191.0,35%,175.0,-16%,181.0,164.0,23%,2.0,30364.0,32969.0,135.0,13959.0,57.0,0.0,122.0,186.0,165.0,91.0,8%,84.0,NO,0.0,10%,59.0,117.0,187.0,164.0,tn,,,,national-liberal-arts-colleges,,Jackson,,private,#186-204,-1.0,,161.0,False,14.0,,37.0,11790.0,2.6,1010.0,,,,,,,,,370.0,0.8281,220598.0,349900.0,www.lanecollege.edu/,0.5604,0.4396,0.0158,0.7792,0.0178,0.0,0.0,0.0,0.0099,0.0,0.1772,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23553.0,,0.1259,2.0
14,martin university,martin university,151810.0,10%,198.0,14%,156.0,-20%,187.0,24.0,18%,8.0,26631.0,19115.0,20.0,15050.0,71.0,0.0,122.0,180.0,152.0,112.0,9%,61.0,NO,0.0,11%,52.0,149.0,183.0,155.0,in,,,,national-liberal-arts-colleges,,Indianapolis,,private,#186-204,-1.0,,171.0,False,,,,13200.0,,180.0,,,,,,,,,473.0,0.7722,151810.0,2140800.0,www.martin.edu/,0.3354,0.6646,0.0311,0.9193,0.0062,0.0,0.0,0.0,0.0248,0.0,0.0186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25074.0,,0.0714,2.0
15,paine college,paine college,140720.0,20%,196.0,22%,126.0,1%,30.0,44.0,11%,21.0,32044.0,29607.0,58.0,12345.0,41.0,0.0,122.0,142.0,180.0,112.0,3%,159.0,NO,0.0,2%,127.0,77.0,151.0,189.0,ga,,,,national-liberal-arts-colleges,,Augusta,,private,#186-204,-1.0,,129.0,False,,,52.0,14596.0,,251.0,,,,,,,,,366.0,0.7095,140720.0,158700.0,www.paine.edu/,0.4348,0.5652,0.01,0.806,0.0368,0.0,0.01,0.0,0.0435,0.0569,0.0368,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27632.0,0.51514233797698,0.0297,2.0
16,pillar college,pillar college,440794.0,33%,189.0,32%,84.0,-1%,58.0,41.0,-1%,112.0,35359.0,38887.0,145.0,19348.0,142.0,0.0,122.0,194.0,180.0,112.0,0%,187.0,NO,0.0,0%,142.0,159.0,194.0,195.0,nj,,,,national-liberal-arts-colleges,,Newark,,private,#186-204,-1.0,,186.0,False,,,,23668.0,,443.0,,,,,,,,,,0.6829,440794.0,3666300.0,www.pillar.edu/,0.2381,0.7619,0.1931,0.172,0.5,0.0079,0.0026,0.0,0.0132,0.0979,0.0132,0.0,0.0,0.0,0.0,0.0,1.0,0.0,37989.0,,0.125,2.0
17,providence christian college,providence christian college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ca,,,,national-liberal-arts-colleges,,Pasadena,,private,#186-204,-1.0,,,False,,,83.0,33884.0,,123.0,,,,,,,,,983.0,0.3821,455770.0,4153900.0,www.providencecc.edu/,0.5735,0.4265,0.4559,0.0221,0.4191,0.0221,0.0074,0.0,0.0588,0.0,0.0147,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50947.0,0.87121212121212,0.2373,2.0
18,rust college,rust college,176318.0,37%,184.0,24%,7.0,0%,38.0,147.0,7%,38.0,28395.0,30401.0,127.0,9359.0,20.0,0.0,122.0,153.0,69.0,112.0,1%,185.0,NO,0.0,26%,7.0,24.0,161.0,94.0,ms,,,,national-liberal-arts-colleges,,Holly Springs,,private,#186-204,-1.0,,57.0,False,,,38.0,9900.0,,768.0,,,,,,,,,254.0,0.5882,176318.0,243300.0,www.rustcollege.edu/,0.4145,0.5855,0.0027,0.9713,0.0055,0.0,0.0,0.0,0.0,0.0205,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16700.0,0.78759627077421,0.0196,2.0
19,southern virginia university,southern virginia university,233611.0,39%,182.0,48%,188.0,-26%,194.0,59.0,20%,5.0,37749.0,38505.0,102.0,18343.0,128.0,0.0,122.0,187.0,100.0,30.0,6%,123.0,NO,0.0,0%,149.0,186.0,188.0,169.0,va,,,,national-liberal-arts-colleges,,Buena Vista,,private,#186-204,-1.0,,192.0,False,17.0,,100.0,19108.0,,1170.0,1018.0,,,,,,,,497.0,0.4995,233611.0,373800.0,www.svu.edu/,0.5261,0.4739,0.7322,0.0399,0.0893,0.0123,0.0095,0.0323,0.0617,0.0199,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31394.0,0.99449541284403,0.2794,2.0
20,university of pittsburgh at greensburg,university of pittsburgh at greensburg,215275.0,37%,185.0,60%,198.0,-4%,84.0,86.0,-1%,110.0,59853.0,51026.0,14.0,13749.0,54.0,0.0,122.0,166.0,180.0,28.0,0%,187.0,NO,0.0,8%,71.0,103.0,171.0,186.0,pa,,,,national-liberal-arts-colleges,,Greensburg,,public,#186-204,-1.0,,160.0,False,18.0,,91.0,26504.0,,1306.0,1030.0,,Suburban,,,,,,517.0,,,,,,,,,,,,,,,,,,,,,,,,,,
21,university of science and arts of oklahoma,university of science and arts of oklahoma,207722.0,40%,178.0,42%,139.0,-15%,173.0,44.0,-13%,187.0,38380.0,34674.0,49.0,7058.0,10.0,0.0,122.0,181.0,148.0,112.0,9%,67.0,NO,1.0,16%,27.0,119.0,184.0,127.0,ok,,,,national-liberal-arts-colleges,,Chickasha,,public,#186-204,-1.0,,148.0,False,,,56.0,19470.0,,825.0,,,Rural,,,,,,357.0,0.4508,207722.0,316700.0,www.usao.edu/,0.3552,0.6448,0.6089,0.0495,0.0594,0.0087,0.0495,0.0,0.1262,0.073,0.0248,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19687.0,0.56302521008403,0.2808,1.0
22,virginia union university,virginia union university,234164.0,32%,190.0,30%,65.0,-3%,80.0,126.0,4%,62.0,38203.0,38370.0,92.0,19360.0,145.0,0.0,122.0,182.0,94.0,55.0,5%,126.0,NO,0.0,12%,50.0,105.0,185.0,142.0,va,,,,national-liberal-arts-colleges,,Richmond,,private,#186-204,-1.0,,141.0,False,14.0,,81.0,14230.0,2.6,1318.0,813.0,,,,,,,,100.0,0.6088,234164.0,376600.0,www.vuu.edu/,0.4965,0.5035,0.0069,0.862,0.02,0.0015,0.0015,0.0015,0.01,0.0131,0.0833,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29361.0,0.80551755585955,0.2609,2.0
23,warren wilson college,warren wilson college,199865.0,52%,166.0,61%,187.0,-4%,88.0,64.0,13%,16.0,32895.0,47293.0,198.0,21943.0,176.0,0.0,122.0,100.0,14.0,112.0,3%,162.0,YES,3.0,5%,86.0,189.0,111.0,19.0,nc,,,,national-liberal-arts-colleges,,Asheville,,private,#186-204,-1.0,,159.0,False,24.0,,84.0,40290.0,,723.0,,,Suburban,,,,,,137.0,0.3552,199865.0,297900.0,https://www.warren-wilson.edu/,0.3458,0.6542,0.7719,0.0502,0.0789,0.01,0.0029,0.0014,0.0402,0.0287,0.0158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54106.0,0.83977900552486,0.373,2.0
24,young harris college,young harris college,141361.0,40%,179.0,52%,190.0,-31%,197.0,74.0,-25%,199.0,41956.0,45543.0,148.0,17704.0,113.0,0.0,122.0,185.0,110.0,112.0,45%,1.0,NO,0.0,9%,63.0,197.0,186.0,28.0,ga,,,,national-liberal-arts-colleges,,Young Harris,,private,#186-204,-1.0,,195.0,False,,,75.0,30905.0,,1388.0,,,,,,,,,389.0,0.3767,141361.0,160400.0,www.yhc.edu/,0.4397,0.5603,0.6786,0.0824,0.0526,0.0072,0.0072,0.0048,0.0227,0.0741,0.0705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44631.0,0.77286432160804,0.4118,2.0
25,williams college,williams college,168342.0,96%,1.0,92%,58.0,-2%,60.0,96.0,7%,37.0,73041.0,75165.0,129.0,3264.0,1.0,4.9,8.0,8.0,123.0,112.0,4%,153.0,YES,5.0,0%,149.0,8.0,7.0,88.0,ma,23.0,Williamstown,Massachusetts,national-liberal-arts-colleges,,Williamstown,,private,#1,1.0,2.0,6.0,False,34.0,51.0,8.0,64860.0,,2152.0,1480.0,14917.0,Rural,1.59,"$26,775","$88,665",96%,8.0,4.0,0.186,168342.0,222900.0,https://www.williams.edu/,0.4733,0.5267,0.478,0.05,0.1268,0.1356,0.0,0.0005,0.0767,0.0879,0.0444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78086.0,0.08498139808106,0.8786,2.0
26,amherst college,amherst college,164465.0,95%,3.0,90%,40.0,-3%,75.0,95.0,9%,25.0,76711.0,75204.0,70.0,5624.0,6.0,4.9,10.0,9.0,96.0,70.0,9%,60.0,NO,6.0,0%,149.0,6.0,10.0,96.0,ma,22.0,Amherst,Massachusetts,national-liberal-arts-colleges,,Amherst,,private,#2,2.0,1.0,7.0,False,32.0,56.0,7.0,67280.0,,1898.0,,17257.0,,1.86,"$25,035","$77,644",96%,12.0,2.0,0.2363,164465.0,211500.0,www.amherst.edu/,0.4831,0.5169,0.3815,0.108,0.1586,0.1391,0.0021,0.0021,0.0748,0.1149,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80060.0,0.0725914962325,0.8493,2.0
27,united states naval academy,united states naval academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,md,,,,national-liberal-arts-colleges,USNA,Annapolis,,public,#3,3.0,,,False,25.0,,11.0,0.0,3.7,4450.0,1200.0,,City,,,,,,32.0,,164155.0,210100.0,www.usna.edu/,0.7155,0.2845,0.5919,0.06,0.1366,0.0885,0.0013,0.0029,0.0951,0.013,0.0106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.10752688172043,0.8758,1.0
28,pomona college,pomona college,121345.0,94%,5.0,93%,78.0,0%,42.0,68.0,12%,18.0,71727.0,78987.0,183.0,6727.0,8.0,2.7,30.0,7.0,21.0,90.0,6%,107.0,YES,4.0,0%,149.0,27.0,13.0,23.0,ca,25.0,Claremont,California,national-liberal-arts-colleges,,Claremont,,private,#4,4.0,3.0,9.0,True,33.0,52.0,7.0,62326.0,,1791.0,1480.0,18694.0,,1.41,"$18,084","$77,779",94%,4.0,24.0,0.1852,121345.0,117300.0,www.pomona.edu/,0.4526,0.5474,0.3161,0.1006,0.1589,0.1736,0.0024,0.0047,0.0848,0.1201,0.0388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77810.0,0.07022313894618,0.8732,2.0
29,swarthmore college,swarthmore college,216287.0,95%,4.0,93%,72.0,0%,40.0,56.0,8%,34.0,76518.0,77357.0,106.0,8954.0,17.0,3.5,19.0,2.0,86.0,100.0,4%,144.0,YES,6.0,3%,111.0,19.0,1.0,52.0,pa,29.0,Swarthmore,Pennsylvania,national-liberal-arts-colleges,,Swarthmore,,private,#4,4.0,4.0,4.0,True,32.0,51.0,7.0,62412.0,,1625.0,1440.0,19131.0,Suburban,1.5,"$21,595","$80,257",97%,6.0,1.0,0.1951,216287.0,337000.0,www.swarthmore.edu/,0.488,0.512,0.3162,0.0902,0.1427,0.1767,0.0043,0.0006,0.0976,0.1402,0.0315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75793.0,0.0692867342082,0.8986,2.0
30,wellesley college,wellesley college,168218.0,92%,15.0,94%,132.0,0%,44.0,105.0,7%,42.0,71158.0,76150.0,159.0,8626.0,16.0,7.8,3.0,16.0,84.0,59.0,7%,100.0,NO,2.0,0%,147.0,35.0,6.0,141.0,ma,31.0,Wellesley,Massachusetts,national-liberal-arts-colleges,,Wellesley,,private,#4,4.0,5.0,17.0,True,33.0,54.0,14.0,64320.0,,2447.0,1430.0,21918.0,Suburban,1.61,"$23,052","$84,803",94%,10.0,11.0,0.2321,168218.0,222400.0,www.wellesley.edu/,0.0,1.0,0.3255,0.0761,0.1513,0.2261,0.0013,0.0021,0.0705,0.1445,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81090.0,0.13567306559886,0.822,2.0
31,united states air force academy,united states air force academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,co,,,,national-liberal-arts-colleges,USAFA,USAF Academy,,public,#7,7.0,,,False,28.0,,13.0,0.0,3.8,4085.0,1310.0,,,,,,,,83.0,,128328.0,136900.0,www.usafa.edu/,0.7055,0.2945,0.6345,0.0583,0.1192,0.0722,0.0017,0.0059,0.0823,0.0144,0.0115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.16233688495151,0.8722,1.0
32,united states military academy at west point,united states military academy at west point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ny,47.0,West Point,New York,national-liberal-arts-colleges,USMA West Point,West Point,,public,#8,8.0,13.0,,False,27.0,,12.0,0.0,3.9,4393.0,1220.0,,Suburban,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,
33,bowdoin college,bowdoin college,161004.0,95%,2.0,89%,34.0,-1%,53.0,60.0,-2%,118.0,67538.0,73247.0,166.0,8533.0,15.0,2.7,31.0,30.0,50.0,103.0,39%,2.0,NO,6.0,0%,148.0,41.0,21.0,9.0,me,38.0,Brunswick,Maine,national-liberal-arts-colleges,,Brunswick,,private,#9,9.0,9.0,11.0,True,33.0,48.0,9.0,64910.0,,1915.0,1460.0,21380.0,Suburban,1.52,"$18,533","$82,735",94%,7.0,20.0,0.1561,161004.0,203800.0,https://www.bowdoin.edu/,0.484,0.516,0.5563,0.0602,0.1325,0.0932,0.001,0.0016,0.0885,0.0634,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76310.0,0.09193686006825,0.8807,2.0
34,carleton college,carleton college,173258.0,93%,9.0,96%,136.0,-5%,96.0,63.0,6%,47.0,68733.0,73746.0,160.0,13627.0,52.0,4.3,12.0,4.0,32.0,112.0,6%,113.0,NO,2.0,0%,149.0,86.0,5.0,89.0,mn,35.0,Northfield,Minnesota,national-liberal-arts-colleges,,Northfield,,private,#9,9.0,7.0,36.0,True,32.0,58.0,17.0,65457.0,,2034.0,1430.0,28244.0,,3.23,"$30,838","$75,525",93%,43.0,37.0,0.1424,173258.0,234000.0,https://www.carleton.edu/,0.4963,0.5037,0.5237,0.0673,0.0957,0.1001,0.001,0.0005,0.0862,0.1001,0.0254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78315.0,0.16625888384014,0.8765,2.0
35,barnard college,barnard college,189097.0,93%,11.0,97%,151.0,-1%,45.0,111.0,-4%,127.0,73047.0,73689.0,100.0,16067.0,88.0,4.0,15.0,32.0,136.0,110.0,19%,16.0,NO,0.0,0%,149.0,69.0,19.0,149.0,ny,50.0,New York,New York,national-liberal-arts-colleges,,New York,,private,#11,11.0,14.0,61.0,True,32.0,,9.0,66246.0,,3442.0,1440.0,,City,2.13,"$27,999","$80,516",90%,15.0,19.0,0.1618,189097.0,270800.0,www.barnard.edu/,0.0,1.0,0.3685,0.0576,0.1452,0.1993,0.0006,0.0,0.0752,0.1331,0.0205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79717.0,0.0879340494629,0.8716,2.0
36,claremont mckenna college,claremont mckenna college,112260.0,92%,13.0,90%,66.0,-5%,97.0,38.0,2%,76.0,91873.0,75530.0,3.0,9686.0,22.0,5.5,6.0,102.0,140.0,21.0,9%,70.0,NO,5.0,0%,149.0,5.0,32.0,126.0,ca,34.0,Claremont,California,national-liberal-arts-colleges,,Claremont,,private,#11,11.0,6.0,12.0,True,33.0,42.0,10.0,64150.0,,1386.0,1440.0,23392.0,,0.97,"$19,489","$104,736",92%,1.0,45.0,0.2008,112260.0,117000.0,www.cmc.edu/,0.4902,0.5098,0.3543,0.0593,0.1634,0.1555,0.0007,0.0022,0.0709,0.1518,0.0419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78723.0,0.10352075669994,0.8318,2.0
37,grinnell college,grinnell college,153384.0,87%,34.0,92%,165.0,2%,24.0,92.0,8%,31.0,61009.0,67698.0,176.0,14660.0,63.0,3.9,16.0,10.0,6.0,112.0,2%,176.0,NO,5.0,0%,149.0,76.0,11.0,40.0,ia,69.0,Grinnell,Iowa,national-liberal-arts-colleges,,Grinnell,,private,#11,11.0,24.0,26.0,True,31.0,64.0,11.0,64862.0,,1759.0,1380.0,22854.0,Rural,2.76,"$17,772","$62,830",87%,31.0,54.0,0.1774,153384.0,186800.0,www.grinnell.edu/,0.4722,0.5278,0.526,0.0439,0.0831,0.0755,0.0,0.0,0.048,0.1954,0.0281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75698.0,0.1076322896869,0.8426,2.0
38,middlebury college,middlebury college,230959.0,93%,8.0,93%,91.0,-4%,83.0,78.0,2%,73.0,67478.0,71811.0,152.0,9618.0,21.0,2.3,36.0,35.0,10.0,67.0,6%,115.0,YES,6.0,2%,131.0,53.0,29.0,6.0,vt,40.0,Middlebury,Vermont,national-liberal-arts-colleges,,Middlebury,,private,#11,11.0,11.0,19.0,True,33.0,47.0,13.0,65280.0,,2773.0,1410.0,24376.0,,2.17,"$25,185","$76,310",94%,17.0,76.0,0.1498,230959.0,369100.0,https://www.middlebury.edu/,0.4675,0.5325,0.5609,0.0542,0.1203,0.0727,0.0011,0.0,0.0705,0.1138,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78820.0,0.12693020382952,0.856,2.0
39,wesleyan university,wesleyan university,130697.0,91%,21.0,90%,95.0,0%,34.0,132.0,-1%,108.0,70325.0,67662.0,56.0,7779.0,12.0,8.8,1.0,18.0,90.0,99.0,10%,55.0,YES,6.0,0%,149.0,12.0,4.0,47.0,ct,43.0,Middletown,Connecticut,national-liberal-arts-colleges,,Middletown,,private,#11,11.0,12.0,3.0,True,33.0,39.0,14.0,67016.0,,3069.0,1440.0,22984.0,City,2.36,"$28,340","$73,897",92%,19.0,8.0,0.1516,130697.0,142400.0,www.wesleyan.edu/,0.4627,0.5373,0.5442,0.0549,0.1058,0.0902,0.0003,0.0007,0.0722,0.1035,0.0283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82245.0,0.14434267612423,0.8915,2.0
40,davidson college,davidson college,198385.0,91%,19.0,85%,33.0,1%,25.0,56.0,-8%,165.0,74525.0,69782.0,40.0,7840.0,13.0,1.9,41.0,34.0,77.0,26.0,5%,142.0,YES,0.0,0%,149.0,14.0,36.0,104.0,nc,66.0,Davidson,North Carolina,national-liberal-arts-colleges,,Davidson,,private,#16,16.0,21.0,23.0,True,31.0,51.0,17.0,60050.0,3.8,1927.0,1350.0,22717.0,,,,,,,67.0,0.1543,198385.0,291800.0,https://davidson.edu/,0.4672,0.5328,0.6207,0.064,0.0973,0.0531,0.0016,0.0,0.0536,0.0983,0.0114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73200.0,0.1694705973144,0.8755,2.0
