Name,us_news_schoolType,us_news_aliasNames,state,us_news_city,us_news_region,us_news_institutionalControl,us_news_displayRank,us_news_sortRank,us_news_isTied,us_news_actAvg,us_news_percentReceivingAid,us_news_acceptanceRate,us_news_tuition,us_news_hsGpaAvg,us_news_enrollment,us_news_satAvg,us_news_costAfterAid,us_news_Setting
United States Air Force Academy,national-liberal-arts-colleges,USAFA,CO,USAF Academy,,public,#7,7,False,28.0,,13.0,0.0,3.8,4085,1310.0,,
United States Military Academy at West Point,national-liberal-arts-colleges,USMA West Point,NY,West Point,,public,#8,8,False,27.0,,12.0,0.0,3.9,4393,1220.0,,Suburban
United States Naval Academy,national-liberal-arts-colleges,USNA,MD,Annapolis,,public,#3,3,False,25.0,,11.0,0.0,3.7,4450,1200.0,,City
University of Mary Washington,national-liberal-arts-colleges,,VA,Fredericksburg,,public,#154,154,False,25.0,,86.0,31154.0,3.6,3493,1170.0,,Suburban
University of Minnesota Morris,national-liberal-arts-colleges,University of Minnesota Morris,MN,Morris,,public,#130,130,True,,,78.0,16438.0,3.3,1068,,,Rural
University of New Hampshire at Manchester,national-liberal-arts-colleges,,NH,Manchester,,public,#146,146,True,,,83.0,34664.0,,653,1110.0,,
University of North Carolina Asheville,national-liberal-arts-colleges,UNC University of North Carolina Asheville,NC,Asheville,,public,#139,139,True,21.0,,74.0,24809.0,3.5,2914,1140.0,,City
University of Pittsburgh at Greensburg,national-liberal-arts-colleges,,PA,Greensburg,,public,#186-204,-1,False,18.0,,91.0,26504.0,,1306,1030.0,,Suburban
University of Puerto Rico--Cayey,national-liberal-arts-colleges,University of Puerto Rico Cayey University College,PR,Cayey,,public,#167,167,True,,,48.0,5354.0,,2559,905.0,,
University of Puget Sound,national-liberal-arts-colleges,,WA,Tacoma,,private,#89,89,True,26.0,51.0,83.0,59900.0,3.5,1712,1170.0,34748.0,City
University of Richmond,national-liberal-arts-colleges,,VA,Univ. of Richmond,,private,#25,25,True,32.0,37.0,24.0,62600.0,3.8,3145,1400.0,26191.0,Suburban
University of Science and Arts of Oklahoma,national-liberal-arts-colleges,,OK,Chickasha,,public,#186-204,-1,False,,,56.0,19470.0,,825,,,Rural
The University of the South,national-liberal-arts-colleges,Sewanee University of the South Sewanee University of the South,TN,Sewanee,,private,#51,51,True,27.0,49.0,52.0,53704.0,,1613,1233.0,30127.0,Rural
University of the West,national-liberal-arts-colleges,,CA,Rosemead,,private,Unranked,-2,False,,,,14018.0,,77,,,
University of Virginia--Wise,national-liberal-arts-colleges,University of Virginia Wise,VA,Wise,,public,#165,165,True,19.0,,76.0,31546.0,3.5,1737,915.0,,Rural
Ursinus College,national-liberal-arts-colleges,,PA,Collegeville,,private,#86,86,True,28.0,71.0,82.0,59176.0,3.6,1527,1180.0,35726.0,Suburban
Vassar College,national-liberal-arts-colleges,,NY,Poughkeepsie,,private,#16,16,True,32.0,52.0,19.0,67805.0,,2459,1430.0,29397.0,
Virginia Military Institute,national-liberal-arts-colleges,,VA,Lexington,,public,#63,63,True,22.0,,71.0,49722.0,3.7,1512,1105.0,,City
Virginia Union University,national-liberal-arts-colleges,,VA,Richmond,,private,#186-204,-1,False,14.0,,81.0,14230.0,2.6,1318,813.0,,
Virginia Wesleyan University,national-liberal-arts-colleges,,VA,Virginia Beach,,private,#174,174,True,27.0,,81.0,36960.0,3.3,1479,1150.0,,Suburban
Wabash College,national-liberal-arts-colleges,,IN,Crawfordsville,,private,#59,59,True,22.0,68.0,61.0,49125.0,3.6,835,1122.0,25956.0,City
Warren Wilson College,national-liberal-arts-colleges,,NC,Asheville,,private,#186-204,-1,False,24.0,,84.0,40290.0,,723,,,Suburban
Wartburg College,national-liberal-arts-colleges,,IA,Waverly,,private,#156,156,True,19.0,,97.0,51040.0,3.6,1416,970.0,,Rural
Washington and Lee University,national-liberal-arts-colleges,W&L,VA,Lexington,,private,#21,21,True,32.0,47.0,17.0,64525.0,,1867,1410.0,24697.0,City
Washington College,national-liberal-arts-colleges,,MD,Chestertown,,private,#93,93,True,25.0,18.0,75.0,54266.0,3.7,955,1190.0,67622.0,Rural
Washington & Jefferson College,national-liberal-arts-colleges,,PA,Washington,,private,#89,89,True,19.0,74.0,88.0,28185.0,3.5,1149,1010.0,31769.0,Suburban
Wellesley College,national-liberal-arts-colleges,,MA,Wellesley,,private,#4,4,True,33.0,54.0,14.0,64320.0,,2447,1430.0,21918.0,Suburban
Wells College,national-liberal-arts-colleges,,NY,Aurora,,private,#152,152,True,,,68.0,35166.0,,342,,,
Wesleyan University,national-liberal-arts-colleges,,CT,Middletown,,private,#11,11,True,33.0,39.0,14.0,67016.0,,3069,1440.0,22984.0,City
Westminster College (MO),national-liberal-arts-colleges,,MO,Fulton,,private,#164,164,False,18.0,,97.0,33144.0,,654,880.0,,
Westminster College (PA),national-liberal-arts-colleges,,PA,New Wilmington,,private,#112,112,True,21.0,,92.0,39770.0,3.5,1222,1060.0,,Rural
