Name,us_news_schoolType,us_news_aliasNames,state,us_news_city,us_news_region,us_news_institutionalControl,us_news_displayRank,us_news_sortRank,us_news_isTied,us_news_actAvg,us_news_percentReceivingAid,us_news_acceptanceRate,us_news_tuition,us_news_hsGpaAvg,us_news_enrollment,us_news_satAvg,us_news_costAfterAid,us_news_Setting
Lane College,national-liberal-arts-colleges,,TN,Jackson,,private,#186-204,-1,False,14.0,,37.0,11790.0,2.6,1010,,,
Lawrence University,national-liberal-arts-colleges,,WI,Appleton,,private,#75,75,True,27.0,64.0,72.0,55461.0,3.7,1426,1210.0,28435.0,City
Lewis & Clark College,national-liberal-arts-colleges,Lewis and Clark College,OR,Portland,,private,#93,93,True,29.0,59.0,69.0,62350.0,3.7,2210,1260.0,32977.0,City
Linfield University,national-liberal-arts-colleges,,OR,McMinnville,,private,#107,107,True,,,90.0,49460.0,3.6,1704,,,Rural
Luther College,national-liberal-arts-colleges,,IA,Decorah,,private,#116,116,True,22.0,,75.0,50320.0,3.6,1610,1075.0,,Rural
Lycoming College,national-liberal-arts-colleges,,PA,Williamsport,,private,#107,107,True,20.0,,75.0,47450.0,3.6,1067,1053.0,,City
Lyon College,national-liberal-arts-colleges,,AR,Batesville,,private,#167,167,True,21.0,,60.0,31000.0,3.6,495,1020.0,,
Macalester College,national-liberal-arts-colleges,,MN,St. Paul,,private,#27,27,True,31.0,63.0,28.0,64908.0,,2175,1370.0,28934.0,Urban
Martin University,national-liberal-arts-colleges,,IN,Indianapolis,,private,#186-204,-1,False,,,,13200.0,,180,,,
Marymount Manhattan College,national-liberal-arts-colleges,,NY,New York,,private,#174,174,True,22.0,,72.0,40260.0,3.4,1608,1080.0,,Urban
Maryville College,national-liberal-arts-colleges,,TN,Maryville,,private,#172,172,True,19.0,,70.0,38514.0,3.4,1065,930.0,,Suburban
Massachusetts College of Liberal Arts,national-liberal-arts-colleges,,MA,North Adams,,public,#121,121,True,,,93.0,21859.0,3.3,838,,,Rural
Medgar Evers College--CUNY,national-liberal-arts-colleges,CUNY Medgar Evers College CUNY Medgar Evers College,NY,Brooklyn,,public,#182,182,True,,,88.0,18920.0,,3640,,,Urban
Meredith College,national-liberal-arts-colleges,,NC,Raleigh,,private,#130,130,True,22.0,,73.0,43936.0,3.5,1322,1140.0,,City
Middlebury College,national-liberal-arts-colleges,,VT,Middlebury,,private,#11,11,True,33.0,47.0,13.0,65280.0,,2773,1410.0,24376.0,
Millsaps College,national-liberal-arts-colleges,,MS,Jackson,,private,#124,124,True,21.0,,68.0,43815.0,,637,1135.0,,
Monmouth College,national-liberal-arts-colleges,,IL,Monmouth,,private,#129,129,False,23.0,,66.0,43520.0,,755,1080.0,,
Morehouse College,national-liberal-arts-colleges,,GA,Atlanta,,private,#100,100,True,18.0,,59.0,14734.0,3.5,2567,,,
Mount Holyoke College,national-liberal-arts-colleges,,MA,South Hadley,,private,#34,34,False,30.0,63.0,40.0,64142.0,3.9,2193,1350.0,31700.0,Suburban
Muhlenberg College,national-liberal-arts-colleges,,PA,Allentown,,private,#70,70,True,29.0,66.0,66.0,60240.0,3.5,1945,1200.0,32940.0,City
New College of Florida,national-liberal-arts-colleges,,FL,Sarasota,,public,#100,100,True,24.0,48.0,75.0,29944.0,3.9,669,1103.0,20132.0,Suburban
Oakwood University,national-liberal-arts-colleges,,AL,Huntsville,,private,#178,178,True,,,72.0,20040.0,,1378,,,
Oberlin College and Conservatory,national-liberal-arts-colleges,,OH,Oberlin,,private,#51,51,True,30.0,38.0,35.0,64646.0,3.7,2986,1360.0,37245.0,
Occidental College,national-liberal-arts-colleges,,CA,Los Angeles,,private,#35,35,True,31.0,50.0,39.0,63446.0,3.7,1942,1360.0,35196.0,Urban
Oglethorpe University,national-liberal-arts-colleges,,GA,Atlanta,,private,#163,163,True,22.0,,72.0,45806.0,,1491,1065.0,,
Ohio Wesleyan University,national-liberal-arts-colleges,OWU,OH,Delaware,,private,#116,116,True,23.0,,52.0,52297.0,3.7,1410,1123.0,,Suburban
Ouachita Baptist University,national-liberal-arts-colleges,,AR,Arkadelphia,,private,#178,178,True,21.0,,72.0,32480.0,3.8,1730,1020.0,,Rural
Paine College,national-liberal-arts-colleges,,GA,Augusta,,private,#186-204,-1,False,,,52.0,14596.0,,251,,,
Patrick Henry College,national-liberal-arts-colleges,,VA,Purcellville,,private,Unranked,-2,False,,,76.0,28425.0,3.8,409,,,Suburban
Pillar College,national-liberal-arts-colleges,,NJ,Newark,,private,#186-204,-1,False,,,,23668.0,,443,,,
Pitzer College,national-liberal-arts-colleges,,CA,Claremont,,private,#39,39,True,,34.0,18.0,62692.0,3.9,1212,,35103.0,Suburban
Pomona College,national-liberal-arts-colleges,,CA,Claremont,,private,#4,4,True,33.0,52.0,7.0,62326.0,,1791,1480.0,18694.0,
Pontifical College Josephinum,national-liberal-arts-colleges,,OH,Columbus,,private,Unranked,-2,False,,,80.0,26763.0,,32,,,
Presbyterian College,national-liberal-arts-colleges,,SC,Clinton,,private,#139,139,True,21.0,,59.0,43300.0,3.3,955,1020.0,,
Principia College,national-liberal-arts-colleges,,IL,Elsah,,private,#51,51,True,16.0,81.0,48.0,33280.0,3.3,314,1027.0,17954.0,Rural
Providence Christian College,national-liberal-arts-colleges,,CA,Pasadena,,private,#186-204,-1,False,,,83.0,33884.0,,123,,,
Purchase College--SUNY,national-liberal-arts-colleges,Purchase College SUNY Purchase College SUNY,NY,Purchase,,public,#139,139,True,29.0,,78.0,18863.0,3.4,3145,1190.0,,Suburban
Randolph College,national-liberal-arts-colleges,,VA,Lynchburg,,private,#165,165,True,22.0,,95.0,29010.0,3.3,478,930.0,,
Randolph-Macon College,national-liberal-arts-colleges,R-MC Randolph Macon College Randolph Macon,VA,Ashland,,private,#107,107,True,23.0,,85.0,48106.0,3.7,1490,1020.0,,Suburban
Reed College,national-liberal-arts-colleges,,OR,Portland,,private,#67,67,True,,,44.0,64760.0,,1548,,,
